"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Exclude from Simulation","Exclude from Position Files","Footprint","Datasheet"
"C0,C1,C2,C3","4","0.1µF","","","","","${EXCLUDE_FROM_POS_FILES}","Capacitor_SMD:C_1206_3216Metric",""
"J1","1","ADS_1115","","","","","${EXCLUDE_FROM_POS_FILES}","Connector_PinSocket_2.54mm:PinSocket_1x10_P2.54mm_Vertical",""
"J2","1","MP_OUT-","","","","","${EXCLUDE_FROM_POS_FILES}","Connector_PinSocket_2.54mm:PinSocket_1x02_P2.54mm_Vertical",""
"J3","1","MP_OUT+","","","","","${EXCLUDE_FROM_POS_FILES}","Connector_PinSocket_2.54mm:PinSocket_1x02_P2.54mm_Vertical",""
"J4","1","MP_VIN-","","","","","${EXCLUDE_FROM_POS_FILES}","Connector_PinSocket_2.54mm:PinSocket_1x02_P2.54mm_Vertical",""
"J5","1","MP_VIN+","","","","","${EXCLUDE_FROM_POS_FILES}","Connector_PinSocket_2.54mm:PinSocket_1x02_P2.54mm_Vertical",""
"J6","1","VTAP_INPUTS","","","","","${EXCLUDE_FROM_POS_FILES}","Connector_PinSocket_2.54mm:PinSocket_1x04_P2.54mm_Vertical",""
"J7","1","MCU_PINS","","","","","${EXCLUDE_FROM_POS_FILES}","Connector_PinSocket_2.54mm:PinSocket_1x06_P2.54mm_Vertical",""
"J8","1","GPS_PINS","","","","","${EXCLUDE_FROM_POS_FILES}","Connector_PinSocket_2.54mm:PinSocket_1x05_P2.54mm_Vertical",""
"R01,R12,R22","3","100K","","","","","${EXCLUDE_FROM_POS_FILES}","Resistor_SMD:R_2010_5025Metric_Pad1.40x2.65mm_HandSolder",""
"R02,R21","2","300K","","","","","${EXCLUDE_FROM_POS_FILES}","Resistor_SMD:R_2010_5025Metric_Pad1.40x2.65mm_HandSolder",""
"R3","1","1k","","","","","${EXCLUDE_FROM_POS_FILES}","Resistor_SMD:R_2010_5025Metric_Pad1.40x2.65mm_HandSolder",""
"R11","1","220K","","","","","${EXCLUDE_FROM_POS_FILES}","Resistor_SMD:R_2010_5025Metric_Pad1.40x2.65mm_HandSolder",""
"RS1","1","0.05Ω","","","","","${EXCLUDE_FROM_POS_FILES}","Resistor_SMD:R_2010_5025Metric_Pad1.40x2.65mm_HandSolder",""
"U1","1","INA180A1","","","","","${EXCLUDE_FROM_POS_FILES}","Package_TO_SOT_SMD:SOT-23-5","http://www.ti.com/lit/ds/symlink/ina180.pdf"
"U2","1","ESP32-S3-WROOM-1","","","","","${EXCLUDE_FROM_POS_FILES}","RF_Module:ESP32-S3-WROOM-1","https://www.espressif.com/sites/default/files/documentation/esp32-s3-wroom-1_wroom-1u_datasheet_en.pdf"
